"","C3L.00104","C3L.00365","C3L.00674","C3L.00677","C3L.01040","C3L.01043","C3L.01045","C3L.01046","C3L.01048","C3L.01049","C3L.01061","C3L.01142","C3L.01146","C3L.01149","C3L.01154","C3L.01155","C3L.01156","C3L.01157","C3L.01327","C3L.01834","C3L.01887","C3L.02041","C3L.02465","C3L.02504","C3L.02542","C3L.02642","C3L.02704","C3L.02705","C3L.02707","C3L.02708","C3L.02900","C3L.02955","C3L.02970","C3L.02984","C3L.03260","C3L.03266","C3L.03387","C3L.03390","C3L.03392","C3L.03400","C3L.03405","C3L.03407","C3L.03681","C3L.03727","C3L.03728","C3L.03744","C3L.03748","C3L.03968","C3L.04084","C3N.00661","C3N.00662","C3N.00663","C3N.00665","C3N.01192","C3N.01196","C3N.01334","C3N.01364","C3N.01366","C3N.01367","C3N.01368","C3N.01369","C3N.01505","C3N.01515","C3N.01517","C3N.01518","C3N.01798","C3N.01814","C3N.01815","C3N.01816","C3N.01818","C3N.01851","C3N.01852","C3N.01856","C3N.01857","C3N.02181","C3N.02183","C3N.02185","C3N.02186","C3N.02188","C3N.02190","C3N.02255","C3N.02256","C3N.02769","C3N.02770","C3N.02782","C3N.02783","C3N.02784","C3N.02785","C3N.02786","C3N.02788","C3N.03070","C3N.03088","C3N.03180","C3N.03182","C3N.03183","C3N.03184","C3N.03186","C3N.03188","C3N.03473","PT.NPJ7","PT.P44H","PT.QVJO","PT.R55F","PT.RN5K","PT.RU72","PT.UTHO","PT.WVLH","PT.Y8DK"
"ARAF","-0.00689293522710978","0.85646055230191","-0.234183395852475","0.30794962439813","-0.508602601226726","1.18940566140194","0.448908882491591","-0.816773785625293","1.06247663260237","1.41326516842783","1.33017746395714","0.440109740150709","-0.661988761682511","0.365192285409838","1.33873151551926","-0.827084012841476","0.903732320451214","-1.22182188447324","1.11072010892255","-0.922167488605094","-0.511593353696539","-0.431861780971856","0.401296173693501","0.524314101646417","1.37130988879262","-1.02186044940795","-0.193986566991261","0.0360777961260859","0.682372220131934","1.20301229213517","0.121833645175392","-0.963046293132921","0.571653776581051","-0.218283279146136","0.178536791912142","0.669219895036415","-1.15858688240614","1.23724086267472","-0.396859993198301","0.616949105761527","0.462313207856603","0.41481398928796","-0.0666983367921907","0.458723141125261","-0.0721716801646769","0.748000448702361","0.89396261778098","1.21890959075205","1.10765219299528","0.913371022818461","1.00850348633822","0.352187243569659","0.563719101232477","0.47469690793557","1.36074645506674","0.56447037740783","0.646896553207969","0.827395607593484","0.633281826453001","0.734489202024883","0.129475786865425","0.608951100653607","0.839137796490492","1.35312739987517","0.817844705963404","9.22452146185395e-05","0.296069042163221","0.529262199013893","0.984030510196","-1.14897762708729","-0.143922925124953","0.927376964479752","0.0169092289121728","-0.519775299330921","0.789729135816465","0.821302435079559","-0.133213444587551","0.16240794027","1.07065902773922","0.871252192408756","0.0872635362884976","0.784190198398586","1.12969973376421","-0.0998719096179642","1.16299990733497","0.0358033190514779","0.740137894241895","-1.1311709114034","0.944485545711075","-1.24788740580519","0.856182578428435","-1.04243934574979","-0.827595308525598","0.891289111956334","1.31542598310367","1.41114680410695","-0.932570082571352","-0.709382521164368","1.25551044482343","-1.52860751463774","-1.47639618853701","-1.36585310227695","-1.44584423421488","-1.44921622114188","-1.38188037101744","-1.3585755326457","-1.28420765108606","-1.25373786495769"
"ERN1","-0.129225873629802","0.75514745310029","-0.289188403336873","0.211928212668404","-0.373641402013206","1.1332128934362","0.359951883094096","-0.703395761302996","0.96705878461178","1.47366181769493","1.10560543759679","0.655070654754698","-0.697881856242735","-0.162982738158442","1.08782625571132","-0.856038343672403","0.67760337700442","-1.33074280300537","0.930759735531411","-0.655678313468431","-0.816332589115253","-0.359223926144355","0.50449056766329","0.348424069146535","0.981808211540699","-1.16742670643167","-0.15319793453169","0.249345499598908","0.571416675816283","0.966918190301822","0.258295922359809","-0.787565178792569","0.274604865911715","-0.121437027221062","0.00075368847679068","0.686139470019517","-1.20227851237171","0.937038226895202","0.0421280822173246","0.640333559384025","0.201313898421281","0.670460082044019","-0.0932750735385493","0.326167977671992","0.338154935968215","1.04414845450856","1.19330472479654","0.989411560272578","0.846982081640609","1.09603439383352","0.787145483045278","0.447886165100479","0.65848177443346","0.919505003781233","1.22379896994217","0.811186497971781","0.922635000810801","0.896507141000996","0.688734791615655","0.485160988189886","0.629481777942764","0.873056354649779","0.981819668023673","1.24153149361486","1.03922328801836","-0.0520999252305266","0.079961241236559","0.64729850970908","1.09051274899815","-1.13024665881944","0.219100363793909","0.844932288446327","0.320810046143855","-0.635097415920044","0.887351820202723","1.02471530505771","-0.181695990189771","0.163494846960666","0.948564467892818","0.827979277481589","-0.147725644326468","0.669267701795767","1.16739561408024","-0.458453007975931","1.23898105175363","0.46236327501325","0.911387974779538","-1.22034479628352","1.04737245145474","-1.17901483476361","0.624460203435114","-0.709341254216014","-0.567426055348607","0.842905098392034","1.37069600859863","1.29949626222993","-0.823078591456318","-0.768423594677316","0.897985033888265","-1.52722917205818","-1.53197585091338","-1.2809614522118","-1.42035012890987","-1.49801063135709","-1.37028109312763","-1.44316352548536","-1.25040733423112","-1.41758121131852"
"MAPK14","0.387821345668985","0.85148409541893","0.0202471394838848","0.308084710227955","-0.493299308028013","1.17241935476933","0.337762693460678","-0.466681304754281","0.594093275107732","1.34783929599931","1.32770619166382","0.592816147120766","-0.832957503791114","0.940952584700943","1.31199580335403","-1.07714083653845","0.341313102113177","-1.39620491384477","0.669786250684169","-1.16884008567378","-0.676802757156692","-0.263536236485737","0.275935721498272","0.376594637035003","1.21293816483212","-0.984188760396895","-0.184209715192802","0.338375903176304","0.274314236221389","0.949992572739204","0.400522251891306","-1.27393193987276","0.178203488265029","-0.194698586130147","-0.251773354574682","0.295156860612755","-1.13139771504038","1.25058042098299","0.088599187435587","0.606775176455135","0.444943574946546","0.12527831769013","0.336765229284529","0.463484776428772","-0.321317086661503","1.15826048144183","0.814402030924664","1.29755363041298","1.33141103419133","0.8537790274534","0.620620086885606","0.638627623274901","-0.000558101311616524","0.68758019448918","1.2672510481791","0.312821968797904","0.957100792039943","0.713197773937511","0.639715732985977","0.80654414627797","0.490272550362091","0.633190925613802","0.266867248620186","1.16956822127591","0.879389606494166","-0.199277564429204","0.134988369160122","0.833324918449698","1.00470302685295","-0.741338625134496","0.313819889562635","0.769681136993189","-0.382751639400434","-0.500527188316874","0.599963166552798","0.660426317385564","0.13088234527794","0.491856659117322","0.786872334253906","1.19648856014734","0.525001258600884","0.192079787297852","1.2869274830098","-0.0231088073966121","1.1324278984742","-0.187874225867297","0.831704496527079","-0.61111250084346","1.44476105946406","-1.09078494916003","0.430528008062482","-1.03181510013225","-0.860673576262319","1.18128839173424","1.48870929667122","1.24389285681692","-0.564839852996834","-1.0270615799224","1.21420598642366","-1.50788490997519","-1.34903878966435","-1.24665278323591","-1.36002526907445","-1.60743654773684","-1.56596395309055","-1.27593588921617","-1.2816384459186","-1.2302503962333"
"MAPK1","-0.380699745995157","-1.25768748391233","-1.02437286971885","-0.435548737436427","0.522970261807067","-0.922900752390318","-0.317667515206748","0.946669663310684","-0.257256354298368","-1.03684999508009","-1.03552985670421","-0.371611887372909","0.670570086778826","-0.514172697913133","-0.901744274827129","1.13267088511193","0.14414744272604","0.82305680807056","-0.616770443050144","0.842413112375491","0.070960993305908","-0.614497433116802","-0.550287291319633","-0.145002753509094","-1.14797474114466","0.749564169696431","0.267508369201021","-0.739450801224263","-0.257134740682583","-0.963648640913077","-0.369116174986117","0.330697643259195","-0.235703821787578","0.816860212528306","0.519366576966575","-0.0822025055248838","0.830264151162397","-0.568015090575369","0.242065374282849","-0.743064021843634","-0.394090605263024","-0.0930349409937058","-0.00334700879136509","-0.201986424005889","-0.317406775856306","-0.740811256891038","-0.695965338475565","-1.09950599643159","-0.763944744232985","-0.847716747164539","-0.571540854238629","-1.03103513249677","-0.582583251455706","-0.585092638361115","-0.685575274556745","-0.264359336226235","-1.05072516697015","-0.663445708478267","-1.07282582129112","-0.50839948498527","-0.627957974158504","-1.21731786148267","-0.269616796540759","-0.948803970162836","-0.543488801057237","0.382701152092185","-0.502189382092373","-0.170772351647477","-0.41147050541508","0.245957892996029","-0.195360201506265","-0.526144849239896","0.0501269525175103","0.634866647394849","-1.00461775170266","-0.444249038321367","0.0794767517755121","-0.130232694851514","-0.415304468268994","-0.537737939508984","-0.385944716318566","-0.0164164404410507","-1.0051979490561","0.815269041390841","-0.927977447407876","0.0351730924829702","-0.664280470399903","0.788155724113001","-0.873907993157561","0.941427434010119","-1.04641465632839","1.14257505593805","0.727446670470071","-0.378570830886141","-0.974200383917452","-0.986761411788735","1.28549684956059","0.664308405497214","-0.479321021692516","1.171602056014","0.993140160111395","0.975774231377455","1.01365323071367","0.97394613591662","1.06526394085232","1.09614018864896","0.980238741018075","1.12503265773153"
"PLK1","-0.17771497198274","0.836007785743379","-0.44964608768616","0.7257988682281","0.174437102425801","1.1719669832743","0.330723944172659","-0.105677194798653","0.670710448111032","1.46479291011635","0.705029039865634","0.824619796989979","-0.614674462743822","-0.296241883300884","0.777778329771264","-0.782384234577246","0.790094245672586","-0.89976147610941","0.659367068896609","-0.89797115349003","-1.41157171326644","0.42147094082093","0.47809607764693","0.898648942044145","1.04321710579337","-0.70936789752403","0.87008775426684","-0.535001494108348","0.724980636826228","1.25834541738561","0.709914828500626","-1.17538118366758","0.346653333176578","-0.194935979431009","-0.115866141624617","0.040962345110488","-1.00247597237513","1.14689718872901","0.203810659665367","0.700293343882768","0.177938501204634","0.770512817288545","-0.161163808274751","0.905494908479448","0.588165096289907","0.730683488614152","1.17859063205676","0.991064697843022","0.902137705806646","0.874940420433119","0.43288652017415","0.263496133668023","0.466778310840381","0.340713454873055","1.30624767656368","0.562326297752994","0.731019566905856","1.44642059183188","1.37414176050535","1.10481676739149","0.215725875193608","0.940024251708549","1.40903492574886","1.16465198059128","0.615272882914583","-0.136120670605893","-0.592348206733109","0.452726821116196","1.00470744392956","-0.827979207450025","0.404469290172231","0.916474507723918","-0.335955743050642","-0.434807212005691","0.285433304507259","1.18803362749662","-0.51493503420595","-0.172310248712369","1.15303965894916","0.367438729033122","-0.527239935036891","0.48293441881215","0.18289328567881","-0.32670502588537","1.0334740510598","0.331201351310676","0.794168053895561","-0.931007141898841","0.79868392533919","-0.91346481079443","0.677504578095412","-1.01245564284189","-0.976790194429114","1.3365305659084","1.39907470085878","1.16306903772199","-0.867391365722541","-0.513449944156277","1.25859025097524","-1.49850244418279","-1.28277923007167","-1.32582965209837","-1.44091930514818","-1.32632031155037","-1.30686631735464","-1.24321046984428","-1.46659377522455","-1.43262200113894"
"CIT","-0.0131223703648612","-0.336219660170223","-0.354912551264789","-0.0279446221890073","-0.201938776826068","-0.699129587721864","-0.205001377235298","0.588907438673933","-0.301528556955798","-0.929593588313102","-1.1210450961908","-0.514975895400211","0.723032697333141","-0.452229625714548","-0.825382988223748","0.652582138917556","-0.284250305738935","0.865832400994682","-0.703691468508478","0.66233680644346","0.0801637796230628","0.504084391877412","-0.199170974460403","0.0418354245926534","-1.05365687384959","0.701422081148289","0.248612486696529","-0.00906865350755682","-0.634577960299695","-1.21864904278262","0.164129085180177","0.481927058893696","-0.0877575669110037","0.547592438217947","-0.236371619518933","-0.34622999721947","0.835763097876946","-1.08108882589072","-0.00157278999537401","-0.532216117989612","-0.452779724828031","-0.271819018867327","0.343560862449667","-0.0912538508048384","-0.418729822558119","-0.665936140016974","-0.618464954006907","-1.43082042306036","-1.17944906372556","-0.571505729699849","-0.788905180681485","-0.494441873375548","-0.41208164155417","-0.311785183398153","-1.17109485902202","-0.4640360735774","-0.694518641803276","-0.220277135706312","-0.602344790989404","-0.58592857733189","-0.494032107301868","-0.579869854484771","0.0584708926902832","-1.18712212782795","-0.682592865631854","-0.204514121821211","-0.237558218744375","-0.322677376145133","-0.545940217372568","0.528935423757257","-0.0271178404870528","-0.727404422060439","-0.117541713457653","0.547727857648497","-0.381561360454789","-0.646170262796078","0.126870393855763","-0.113814730731595","-0.577158971499015","-0.70662659706408","-0.497661884344186","-0.248003670554709","-0.279559317490137","-0.221212024290342","-0.819307179746414","0.179231503204035","-0.319225838464795","0.477826940300029","-0.955350257480823","0.716596182934571","-1.1148182403746","1.23760685939865","0.512386747917452","-0.969515798271719","-0.94843994561239","-1.21403645501484","0.920082635058132","0.324153652920633","-0.822839262954902","1.05718097610292","1.13136547591052","1.13701677239981","0.946568569842517","1.26978490747029","1.06482620270684","1.17968370080553","1.03839121607984","0.930160650013952"
"CDK2","-0.366011172307657","0.449237271376289","0.049618123699735","0.673302866379569","-1.2991739501461","1.39880962646004","0.332743221818824","-0.809171901535496","0.560173921950168","1.28258873693353","1.35072865167965","0.499618944049788","-1.06890853922152","0.781231243363602","1.01263169697291","-1.35912822404519","0.752932460679775","-1.73992664346545","0.529635120849531","-0.69045762182364","-0.421615112887883","-1.00102421404052","1.59531197933175","-0.0759354588184739","1.83046525477854","-1.65001519772624","-0.627580110922682","0.348229251069765","-0.147711871590337","1.19089859103098","-0.302649939442651","-0.647901142746659","0.584685276007793","-0.738428693988478","-0.14014987835087","0.551225864571593","-1.52817782274056","1.759009934202","-0.497694210171876","0.375750026419988","0.499484186318646","0.0384896975093511","-0.157584141719003","-0.179795072547093","0.331758346958524","1.32832729145679","1.16444166166744","1.77065152343538","1.31744491190056","0.299969770896453","0.948626750864852","0.496649298230646","0.404519520084804","0.497805646057638","1.5651936060741","0.511222969621479","0.943252627335747","0.349122413511859","0.519749194089092","1.10281367281011","0.345797270048749","1.01928320395862","-0.0151119128403154","1.13666273498506","1.04632686238948","0.346545072318708","0.670837755486243","0.657524113468611","0.490992125433683","-1.33180069959548","0.16870794532517","0.74315968083624","-0.198199020396391","-0.637194238863696","1.21674793430945","0.813451431598635","-0.512057511602072","0.0730473838019325","1.09672206691369","1.18584346881221","0.624283484334936","0.387138595001367","0.763774003699842","0.0776558040071157","0.995072278707822","-0.184145832920548","1.19477215888973","-0.714574441047099","1.36184298224192","-0.876194239021818","0.74408122869514","-1.13299273020149","-0.793669368419868","0.820059048971887","1.13646372934139","1.54862608309622","-0.838157631244909","-1.04779616090935","1.09675739277783","-1.35115641124182","-1.28470194678407","-1.35238280803012","-1.10898949439939","-1.1335935129685","-1.27890178325079","-1.34145317979645","-1.15373534881014","-1.23513144499967"
"MAPK3","-0.615485151136193","-1.32822891986893","-1.21699162419489","-0.351712444683555","0.410050374622155","-0.971175244711393","-0.0384383359711508","1.03238732582387","-0.100131810574481","-1.13339456696952","-0.852674668661787","-0.48040849103777","0.503499765059208","0.00497646376448119","-0.912173755960395","1.03061519201325","0.540557060902468","0.834033147430831","-0.508392329615949","0.860492398091142","-0.077420218178467","-0.827609951193949","-0.599390943771787","-0.143289890309278","-0.949428290268606","0.638458245262631","-0.00306941680684641","-0.916396175002346","-0.287293642233927","-0.550523927713538","-0.401887179019452","0.317216932483296","-0.0586345452256005","0.857119892322946","0.43299119855643","-0.357795884717439","0.809805022385933","-0.31635335837487","-0.0367629108312766","-0.721053044956906","-0.139038798864721","-0.320270921038453","-0.0587392367881088","-0.211628475271697","-0.295639840077354","-0.863361912137039","-0.818071975773634","-0.895207845670323","-0.726091974249586","-0.979215294419982","-0.507128663632282","-0.913683148826547","-0.583316731434027","-0.670276199065697","-0.627844968913296","-0.578361181110907","-1.18658750755237","-0.691361167343633","-1.17635671479271","-0.550072340173175","-0.817176645214604","-0.946252755036365","-0.466025096388912","-0.871024600624894","-0.438291884803642","0.253224389127654","-0.46691180144395","-0.0318047016034368","-0.528604633268172","0.167369178401222","-0.28387869593563","-0.476136838974929","-0.0693480838753775","0.628207595332131","-0.767702808603027","-0.587559945295919","0.176722536715261","-0.0866051519333264","-0.253762144211759","-0.343734551650581","-0.417872691490015","-0.102007997914722","-0.875805486567305","0.865763483337611","-1.11451726465049","0.142523415608216","-0.847846554668853","0.747104323060529","-0.820386704366926","0.880397765847634","-1.18775818378143","0.929433988806977","0.645121593451345","-0.468119936544792","-1.04946421891857","-0.888110231606721","1.16188252730361","0.453595044241528","-0.390713900161609","1.14600593681854","1.05682768199468","0.912385469719784","1.08183807555445","1.05958826848916","1.00981497544454","1.0173724859046","1.14222324401328","1.15257334018784"
"CDK1","-0.330432836573247","0.984230017026893","-0.208839377654425","0.438166321138556","-0.911786297068509","1.40430599587273","0.606810951007609","0.222820622311449","0.308711677259393","1.97423861359744","0.925708643511229","1.08365480943899","-0.629100702254338","0.207039328989135","1.00252736022171","-1.38563969855433","0.396462072855527","-1.51215583503497","0.3511710434201","-0.967685682793134","-1.51053605408376","0.0598084049099092","1.47857333513037","-0.124603669051253","1.24386519622303","-1.37431576130929","0.210088810277802","0.526888025838005","-0.109191027373502","0.831625405216537","-0.0459689315387702","-0.502817927127079","-0.0254436990613784","-1.3476991631894","-0.231986284951743","0.905920683359419","-1.32481512333558","1.17054216993069","0.142256744430265","1.15089023897029","0.108930423940945","0.358382796817188","-0.133377837606853","0.362340317272387","-0.0514425184707095","0.888496162249733","1.41771282231011","1.12708210349161","0.28536627562932","1.03637766505451","0.735331450727628","0.995223489448811","1.02501724987528","1.02895108374176","1.34727825308397","0.435038448146907","0.767669451362045","1.07045788289817","1.01895134523937","0.859319317574885","0.43621367025611","1.45423858736647","0.924161895469012","0.860161264060694","1.25597792386359","0.202867975252658","-0.283370547355383","0.899161620970426","1.02255951289845","-0.73766648384369","0.208290908862178","0.908194123569546","0.314037975315878","-1.17942726813546","0.959518752333193","1.29015874380983","-0.45584511170493","-0.18011355385516","1.17815891870506","1.00114154046001","-0.551564801659275","0.250432196533319","0.650100696241399","-0.944588984436114","1.19538822290673","-0.0202238580571755","1.61422649101844","-0.865440021586781","1.06523424072447","-1.20142501376282","0.131975329722618","-0.953790266129072","-1.08348115575342","1.01800018284126","1.07283627241473","0.830710349347882","-1.08914149187829","-1.04541365165216","0.674169121490243","-1.37127520629809","-1.42054978202826","-1.15968703902096","-1.28394090590929","-1.49757374348301","-1.58012854530229","-1.35513756916686","-1.08591198293627","-1.11089796279569"
"PRKCI","-0.465027797361693","-0.595315427716619","-0.0200045828236807","0.0423497678105888","-0.0188854647307616","-0.854898387053669","-0.278488615199497","0.39516291209039","-0.883601550163955","-1.2185057816769","-1.31750231398516","-0.378114441102786","0.371011014267713","-0.46574496167386","-0.999516481007254","0.650371225162799","0.224648878265254","0.715370966269762","-1.01818587257403","0.90347735268922","0.12331386557508","0.326880882065467","-0.111272198133128","-0.417580233564482","-1.05633713417471","0.6618980999649","0.149071827726532","-0.239466492827377","-0.950481569936899","-0.950347443150437","-0.117950426193188","1.1504450661345","-0.338622677648143","0.17623054703038","-0.134509646262957","-0.500515072604639","0.592981270102186","-1.02264536827693","0.447234149816337","-0.66731314040792","-0.408950100246543","0.110409910110009","0.150558038940772","-0.583703304934057","0.264774106560554","-0.594552877380657","-0.296317323451808","-1.08498286299088","-1.03918481703122","-0.805573451515523","-0.62329446168183","-0.329734876345827","-0.264305671757166","-0.0825381360542388","-0.880758715523227","-0.439817321070575","-0.495440754326418","-0.765485620036815","-0.528809838614141","-0.634357592211636","-0.118354406786567","-0.254381505629235","-0.225604977192924","-1.39401987882283","-0.196065418923834","-0.704673033557302","-0.534534466494578","0.227571179591186","-0.823575635088743","0.538912591850763","0.224784280142572","-0.747210860194589","-0.156484824541528","-0.0636168785755938","-0.532172774982852","-0.32519156111125","-0.346431451150897","-0.0289716223572997","-0.642593145937306","-0.349225958807497","-0.158684297076196","-0.310017629760952","-1.07722759017853","-0.233233710111773","-0.939440284174413","0.759199675305646","-0.288380824839013","0.737699159425176","-0.618564818876069","0.941582487407061","-0.736035498926175","1.05707727930767","0.889201587076911","-1.00212605808673","-1.1059823093045","-1.23910793513605","0.702374732218059","0.414404779826454","-0.748063574566738","1.03219787223492","1.15663716169425","1.05878754056904","0.949658461770134","1.15814820139034","1.1612361493941","1.07946775439463","1.05489350830613","1.08689539355895"
