"","S001","S002","S003","S005","S006","S007","S008","S009","S010","S011","S012","S013","S014","S015","S016","S017","S018","S019","S020","S021","S022","S023","S024","S025","S026","S027","S028","S029","S030","S031","S032","S033","S034","S035","S036","S037","S038","S039","S040","S041","S042","S043","S044","S045","S046","S047","S048","S049","S050","S051","S053","S054","S055","S056","S057","S058","S059","S060","S061","S062","S063","S064","S065","S066","S067","S068","S069","S070","S071","S072","S073","S074","S075","S076","S077","S078","S079","S080","S081","S082","S083","S084","S085","S086","S087","S088","S089","S090","S091","S092","S093","S094","S095","S096","S097","S098","S099","S100","S101","S102","S103","S105","S106","S107","S108","S111","S119","S120","S121","S122","S124","S125","S127","S128","S129"
"ARAF","0.993937013954789","0.928523673037906","0.210778764527299","1.04648948476982","0.765756285384484","0.512063784547308","0.939884363829611","1.00158190548107","-0.133369409087045","0.204811881635351","0.890825005892532","0.799982679848314","1.09970738066516","1.02748494097113","0.97948728000749","0.913031526307973","0.966832811590158","0.479170568042355","-0.344835929043987","1.07103722737389","0.990386308130741","1.27836844292062","0.987961160607467","1.09499164892304","-0.511244650240943","0.899472873677096","-1.17725040570574","0.129941139091735","1.12549222079932","0.859577787934447","0.528875899244547","0.564491144103236","-0.875832053820589","-1.31016255088032","0.141982028325347","0.669316645766457","0.906646781225798","0.233064893778719","-0.481229408893116","0.827636042980725","0.288821535147579","-1.34122591084746","-1.06019151558333","0.0998420058097979","-0.0620794615021605","-1.17599106854063","-0.823599150823461","0.87749279687609","0.435979025810456","0.801248107083114","0.330877859551152","0.873920423151343","0.932758717163641","0.8518029656701","1.0441848058395","0.920723913641088","1.04051953038711","0.444814168483792","0.695224563081647","0.222772101558256","0.5969557985776","0.194609592991298","1.12603754962426","0.961528014522312","-0.114238012268956","0.415900250276557","0.411516725344464","0.467600907184542","1.38500579396612","0.75427167429325","0.80355283500084","0.639952245388649","0.311670465922234","0.379140284856109","1.32110367715671","0.73806337655121","0.842132759776865","1.08076159352139","1.03372581649744","0.541743065546455","1.02349907415487","1.22864442051703","0.763318453431826","1.25091899366217","0.82841543441692","0.547756235553834","0.996008840064697","-0.604641423558496","1.0615075641046","0.679118751297897","-0.395838952019261","1.10878302339243","-0.300887713876396","1.05629423415163","0.932967924827729","0.745425960559344","1.28752459844068","1.20905048445606","0.898004335039709","0.617271819646465","0.164990900705599","-0.982024513382485","-1.12716678125773","-1.16024520515864","-1.28128494367475","-1.10693734049429","-1.29946847412522","-1.27930034446267","-1.26445457211255","-1.37010333921865","-1.29088719837919","-1.22641560383033","-1.27793862976234","-1.16962110907293","-1.18950814588453"
"ERN1","-1.042416666353","-0.698717176813042","-0.133294739518512","-1.13798211190491","-0.518094778254263","-0.598914177096903","-0.870553872915847","-0.990041378146028","-0.0103182624201746","-0.667017894088105","-0.792992113328035","-0.507809662202914","-1.22906731052088","-0.965531526160243","-1.02632657271978","-1.02084141061537","-0.810667241592044","-0.379944603202445","0.733268852460369","-1.02514873837654","-0.936527556841304","-1.26001247394879","-1.03876504800971","-1.33381469393823","0.26902358334892","-0.803825212562158","1.31803167099816","-0.0817021367814568","-1.32663399120019","-0.933516836256916","-0.684534400339019","-0.406483413347923","0.570492005679525","1.267429758424","-0.0522139754749737","-0.370438620998714","-0.986666987949689","-0.210655072517474","0.491006273628352","-0.802018204449859","-0.44701402938419","1.24814543136498","1.32393168265726","0.0531012079911599","0.0710859037596618","1.20213328385433","0.487773072762876","-1.03497877265247","-0.718963916490912","-0.72764686423881","-0.243024285288781","-0.88750510838683","-1.27488284642382","-0.919431994297593","-0.977033073047264","-0.979342075992011","-0.852917399028297","-0.802099400764333","-0.932109337109732","-0.154564483933847","-0.51498049405889","-0.197591323288909","-1.09696612810133","-0.93267408300289","0.508540561920631","-0.355851260127678","-0.115616828023022","-0.251457317320903","-1.31762442357612","-0.943392259720216","-0.775602256508624","-0.96336405987009","-0.262325597737222","-0.676835772308731","-1.30812118903477","-0.643299593087999","-0.906270405825599","-1.12766713787092","-1.19114667476415","-0.436326165155767","-1.0430377761496","-1.09242577292993","-0.617068067148459","-1.01226300477477","-0.818862364207502","-0.603750825647718","-0.688089438680747","0.344796436462454","-1.21432476353343","-0.616052085118676","-0.0267014000171138","-1.2024280247089","0.142044899822419","-0.753702608154497","-0.461960218566265","-0.695048852570816","-1.18424576348611","-1.12253798860943","-0.830611928159796","-0.484160950395925","-0.0243394695498827","1.18737685664425","1.18822892425153","1.24581281988021","1.20016030341319","0.981308250778378","1.25427302891202","1.45692988610432","1.2722073347992","1.18088304469057","1.35233217360874","1.29313510525585","1.3650817158198","1.1904013195947","1.24093538061407"
"MAPK14","-1.05878390098844","-0.61675544765575","-0.284759866048001","-1.22332504382598","-0.669298811627784","-0.745177650441754","-0.951138640514718","-0.585535681211011","-0.0137474712210067","-0.290601675730796","-0.838718102989916","-0.387163697751446","-1.09211787882112","-1.00274765987436","-1.03568156343423","-1.26068563272474","-0.434523354579347","-0.212908426471966","0.907959173438495","-0.84303977693281","-1.01001567085197","-1.18544514243535","-0.927402722460651","-1.45061521204044","0.280529872981982","-0.630031831809752","1.1340018716393","0.269333285179937","-1.13410884966532","-0.801975533758052","-0.672537217458206","-0.662208418961957","0.484196839390272","1.05287737457449","-0.28353006477208","-0.309843956841003","-0.952101636160276","-0.361057341757193","0.220540281432221","-0.551770945876227","-0.263018995888031","1.12489498941887","1.29100509438504","0.0925829982344656","0.299350503670336","1.04556526800772","0.132553278362284","-1.06802621660688","-0.724137791366557","-0.802554977873564","-0.233596431048406","-0.838939160756344","-1.19469684796059","-0.814456933313887","-1.0777237360597","-1.10621266607311","-0.636332586509798","-0.978134809162835","-0.959766333477299","0.0256897507093532","-0.483048991802552","0.109016509374005","-1.04318650768539","-1.05712933582735","0.619279835260944","-0.259910165710664","-0.1225283524239","-0.31405904794797","-1.23635043882573","-0.766240980191189","-0.910588953779784","-1.01281016474734","-0.386284924419547","-0.4722575902245","-1.19798929645707","-0.759992128930718","-0.64189597783662","-0.944467048743341","-1.36414262302478","-0.200537920629417","-1.28498274351965","-1.07141264353518","-0.663838537703766","-0.7727392769045","-0.809351419424412","-0.697675982052414","-0.858802073134123","0.44272534985361","-1.25785721477471","-0.507178525800069","-0.0741892317496889","-1.28651781772302","0.236893901591615","-0.738978525318359","-0.781840332375499","-1.0719615915861","-1.18836833208691","-1.20588039981481","-1.13752509379421","-0.303118207341849","-0.0358072773016723","1.24162327637776","1.16535470763716","1.26374641673261","1.24556245343072","1.03884378206616","1.18586557049385","1.31297116506322","1.34465916738968","1.1873592845271","1.41221421017722","1.27369895539479","1.04609259537977","1.22258531500457","1.30229571487474"
"MAPK1","-1.15765011423645","-0.733054739034172","-0.384558625296806","-1.29639189922509","-0.5163028595705","-0.782865950786409","-0.621695203405828","-0.607503711089363","0.24942788917934","-0.368921479074299","-0.821324913866993","-0.402141390631571","-1.24173067409189","-0.947784248715815","-1.03808194790688","-1.21882036342113","-0.662562465777424","-0.596233321482767","0.545034967772322","-0.929285787831497","-1.25537329026146","-1.34295488167337","-1.12068390770329","-1.30850157071993","0.270133472552392","-0.81805463188162","1.18408398525548","-0.147971184442149","-0.877843928873058","-0.892771315566762","-0.734203896268277","-0.23743995479461","0.730897884899641","1.26791169296216","0.160214320133189","-0.603570840352999","-1.06283754580567","-0.0391087866036312","0.453945156241392","-0.871181403666211","-0.648797939693863","1.08708147445393","1.16019651330022","-0.0832413561955159","0.213471527429239","1.09886018167129","0.195565304848805","-0.996719145522554","-0.667842621289941","-0.88967533772858","-0.437472075987835","-0.829735238474212","-1.04101104662325","-0.849957072059593","-0.793212853363276","-1.05581350559925","-0.765870709022549","-0.77066355912212","-1.02718979647959","-0.228162301767165","-0.315382594898625","-0.324402715536585","-0.805719159443493","-1.07848075909518","0.269005257666402","-0.359051679477934","-0.327878761778512","-0.367423415746696","-1.23043658030496","-0.965772049651219","-0.689017291608127","-0.983518436814938","-0.294224569131654","-0.675859046708343","-1.24023980157643","-0.801870311841955","-1.10327143298848","-1.18223239752053","-0.987897440374376","-0.798322155540844","-1.06190507888268","-0.927050541834787","-0.686847231309998","-0.484576395797891","-0.80969399798609","-0.744777664581796","-0.652732285069314","0.530729309201611","-1.29382287201479","-1.2079906636646","0.271183202513375","-1.13303943879468","0.0477679638892241","-0.596813542241233","-0.732860467900468","-0.796781819054663","-1.17525233774114","-1.1162426728773","-1.14714158260103","-0.2837488611235","-0.0738887471362255","1.35473208916211","1.15811929269813","1.23255600963286","1.10979476690462","1.16744335148303","1.15096726753198","1.38610357375842","1.20007414422195","1.27133737624701","1.46511814804478","1.08849546758749","1.12009148993203","1.19036988421134","1.32961064404361"
"PLK1","1.0373585418841","1.18346164497901","0.224076427389061","1.30008531668493","0.807749558032729","1.21047300627704","1.07522190392286","1.17168317431305","-0.0593994921245818","0.215469864473062","0.797974262158319","0.825161887938377","1.05236655249333","0.77268622136086","0.848767324936417","0.93831959962734","0.881989473687998","0.600940621217797","-0.23989030058745","1.10741262244459","1.09061500450612","1.54935546417094","1.16025984285812","1.09302855891619","-0.689453934601871","0.969813295712668","-1.31115852979928","0.251433972838939","1.12722588613717","0.931260766504889","0.607138057535543","0.26860786636811","-1.04976513535473","-1.27907768270169","-0.18585228927038","0.622284526994979","0.997821790073253","0.12991761698283","-0.00644519790820302","0.642855954556349","0.331512223368538","-1.24567890333324","-1.07701489898719","0.0111096258963421","-0.515525470015351","-1.43375732336101","-0.794196098637007","0.896532857509282","0.363990303976694","0.708527645220111","0.573326385856413","0.603519849282272","0.999019724123682","0.272126226136228","1.07852196426761","0.890392187518924","1.03527625964195","0.382509677739949","0.550701355186355","0.0829650376660934","0.631690229284376","0.609138447715886","1.06048501198105","1.08434593039247","-0.361674725761833","0.596704502871161","0.604851645542238","0.482510743149283","0.916717573926036","0.633456460742495","0.957582388128741","0.569542545581454","0.246560619908786","0.538672517978053","1.26986595612098","0.768251995658339","0.960068710528857","0.947966784562996","0.8854826190597","0.596354282936536","0.973012448749274","0.983963108865864","0.519374706895624","0.951707602775288","0.989276735568054","0.62035596356828","0.755697822035431","-0.612875574381388","1.19880899863639","1.1266298779595","-0.417419220327936","0.945564037437742","0.13367671286037","0.899768860572533","0.877352182884059","0.740090645471097","1.33010411993327","0.930331242448846","0.760308169755222","0.530133474552789","-0.22206622767143","-0.910904395749323","-1.11777134563932","-1.00064804850194","-1.25166062225156","-1.18189790547066","-1.25454865541539","-1.13147675725308","-1.30179836148829","-1.45122068326378","-1.18928984562238","-1.23305031498634","-1.10065797538937","-1.30901436627787","-1.28326208183936"
"CIT","-1.26714438951511","-0.959972001212361","-0.352062399925854","-0.858384995584748","-0.445052335092292","-0.779686103611639","-0.801900943191603","-0.670526360809224","-0.207606833505903","-0.450856967644811","-1.0366189412197","-0.00254505927948039","-1.02894498530416","-0.846969877536292","-0.943832083245953","-1.14073535612903","-1.10881318473114","-0.102540216509148","0.210149800950135","-0.988039715241697","-1.07429616298447","-1.05279647601289","-1.07593573852295","-1.08700896195412","0.16643384198442","-0.985060829532113","1.19398376303055","-0.150147042092129","-1.06463503635081","-1.20784462035237","-1.03561252684675","-0.574773260417922","0.805093244225353","1.35614262157039","-0.0870710269869615","-0.473215794736202","-1.11497457684511","-0.378692937051554","-0.191789541665173","-0.91592890860589","-0.165058266433566","1.08201296092165","1.1696110048862","-0.0157645199470024","0.572343405145211","1.32927899974237","0.404078361266614","-0.984127059652472","-0.730678724564229","-0.817846901261065","-0.0391270807934224","-0.960241278227354","-0.913919720581534","-1.08668109999331","-1.00578509918113","-0.80283856417484","-1.11913352746392","-0.861525777862014","-0.670996663402225","-0.117833681826115","-0.588670191689666","-0.312912664366874","-1.32731693648859","-0.964325502257934","0.0504438108126069","-0.651276021117509","-0.743108195064458","-0.332638975999582","-1.14878564406358","-0.663595511503373","-0.771040770865022","-0.820050953843316","-0.378979824072357","-1.06779210156236","-1.15319098010345","-0.867465790357318","-0.772514072710245","-0.909078445707914","-1.04397969877575","-0.282966783047642","-1.24036399548661","-1.07891973020164","-0.608284846148383","-0.51138914470096","-1.33424526674287","-0.64301006661353","-0.653745495371192","0.608662885433381","-0.94293703963459","-0.766411248202311","-0.243855558417558","-1.10330755879363","0.164254749126199","-0.597230919833915","-0.94139267846755","-1.06233442185842","-1.18645930755778","-1.23932929352795","-1.00129223970211","-0.289823114853486","0.189145909943102","1.2872193699843","1.1833926984887","1.20672683886016","1.23570327656126","1.22602855543737","1.1263761581131","1.15896323912343","1.31032038861603","1.06345284276863","1.36325552682722","1.0919167261198","1.27568553978029","1.16006177092083","1.26468690027553"
"CDK2","0.830760782929398","1.36520502661954","0.285922654958935","0.0934810230633897","0.972196319843968","-0.456686655221721","0.392994858550561","1.39983161011974","-0.590341596583446","-0.174488397988794","1.16136837815516","1.05930241066643","0.998393793670878","0.583446389775169","0.933797009830707","0.846110319658863","1.20919892382667","0.358255158933206","0.815046769564274","0.58685591278045","0.625103306352295","1.11917718678351","0.861501188003703","0.0595764642560518","-1.10676406615958","1.28084099569214","-1.11737640100617","0.473021563159775","0.622811266535361","1.7023780546655","0.791593282084112","1.01282438339017","-1.56182759474882","-1.0772131068296","-0.314554884986857","0.251784995576776","0.812334243013547","0.529098576788873","-0.424575021758382","0.831689826366771","0.131119555904089","-1.26505460951371","-0.72268265073757","0.508050209184556","-0.758470795066793","-1.38312826864202","-1.34220888033875","0.0771247969206255","0.137692550028189","0.534434014658019","-0.097902641901209","1.18751929216747","-0.115861820046745","0.625349806062243","1.67197855686197","0.396135314497545","1.43147335929621","-0.0213487564830848","1.17737164165741","0.28251260151333","0.403297202997946","1.08408220931016","1.31764526206755","0.799106369293614","0.867011572468346","0.99209907374045","1.42702993894322","0.976621120116059","1.27064151887828","0.357419246107756","0.886319553936193","0.0971876029245483","0.591283690176737","0.835813656391115","1.75987471889026","1.47719859772876","0.307731142789361","0.531222311405194","0.522515944019892","1.01259510361679","0.684311555205727","1.27887626198948","0.601260029163381","1.08763647655864","1.20021612171476","0.341396864633989","1.33868397777601","-1.28006119794188","0.440676271014151","1.54055256676214","-0.0660453204966639","0.421380802598334","-0.888775056213595","1.3671307434716","1.47394460438923","0.847003389380039","1.17047355705809","1.2797562026366","0.787533806344336","0.815537178946461","0.169294120839217","-0.750785869384382","-1.17300631248442","-0.76830770086721","-1.12759619282532","-1.21587009226508","-1.46590137928762","-0.824939971749121","-1.38389167405143","-1.40507597199275","-0.931987644313645","-0.870843043448645","-1.167470630945","-1.14012651907836","-1.02230403653642"
"MAPK3","0.974763425225203","0.919339196439594","0.540882108200527","1.12624454305512","0.683100828079587","0.772348799996103","0.52439821905877","0.523551886741365","-0.448389676877651","-0.0651116252827474","0.809238407487319","0.769972249324179","1.24479965605797","0.8981263540567","1.06566881450521","1.19226055136605","0.839821545118217","0.872106467487137","-0.250057542584141","0.996956294751995","1.27746423053082","1.3921362350854","1.0321995186954","1.18329640842241","-0.500002085658804","0.994356858326881","-1.05229979119921","0.343328415549013","0.898345964098705","0.857916606572442","0.509154075636678","0.246225841653248","-0.972281054377326","-1.30322316697684","-0.00997803404747043","0.925297767789118","1.05635418990376","-0.00411339714121589","-0.616697197378595","0.921845874154502","0.394259450836734","-1.2058710914622","-0.930361675787856","0.394586426687572","-0.124911942043077","-1.10694830059553","-0.397984188515789","0.900378921575456","0.524722140855453","0.882518845248307","0.684741556908386","0.809286140171624","1.0141230617808","0.674165256739686","0.799822239241459","0.84581041482343","1.0209718209883","0.410172337837944","0.736887977227979","0.126142375607128","0.253029697480078","0.357738051928484","0.82260601314204","1.08732240137419","0.0298697575418246","0.299307476577057","0.367653350020124","0.531441825176345","1.19660262804232","0.870328832639104","0.767717170854844","0.651116333492115","0.306782331780315","0.397068072319357","1.26504523163561","1.07492588786652","1.02998486801647","1.17238243978797","0.796465577136104","0.964456965073412","0.962443615045092","0.976067628351009","0.723087301225364","0.739135767877956","0.758215742675192","0.594721739634179","0.871254953042751","-0.752322348665827","1.1873541296673","1.21776908729675","-0.528517249441209","0.986778022887253","-0.136229631151275","0.754961233279003","1.02873383483017","0.731871420236199","1.17360428097593","1.13674372220049","1.23326079990376","0.713836803268348","0.104846307686249","-1.16143775506081","-1.14421106031974","-1.09773825461636","-1.08600586869243","-1.19681696587511","-1.17167390946263","-1.22468681257186","-1.07544112863788","-1.40945254346838","-1.41150091330253","-1.15312146606707","-1.18958030647929","-1.11740367892065","-1.34367758982384"
"CDK1","0.746635942756996","1.57318537029532","0.545855255034597","0.265068213902493","1.01828951070148","-0.221783506809818","0.986785740180893","1.83369774319074","0.0168624275416038","-0.539865934188354","1.17167812310329","1.21029966821161","0.6761159639916","0.78790941435471","0.939707451334415","0.74598615563747","0.81238958479782","0.227159405932435","0.188795200289162","0.587994428311498","0.700870201278204","1.44282052858796","0.58959045334083","0.281309475841091","-1.0020617612386","1.39782962122174","-1.28879178029782","0.202169700220862","0.881126922164677","1.36482997662091","0.583940874830213","1.10399917800479","-1.40922953398301","-1.21247556802534","-0.248347484894992","0.82988964100154","0.947881631129611","0.242644406367823","-0.865539714015878","0.948867403129086","0.0137791059019806","-1.19571474501858","-0.865799032314482","0.441024655664632","-0.331837748075282","-1.32818376043539","-1.66193163126851","0.580597155123743","-0.0720000880023013","0.381481293948669","0.169056216144498","1.03547482855584","0.022225377209798","0.0588661679567596","1.31173318849491","0.448100410968639","1.28324162318532","0.0762309856672828","0.919534439467991","0.0268007130074612","0.591667336815474","1.00253281167881","0.883234356825862","0.875290305005533","0.587689745008938","0.918996024227055","1.30772657133232","0.991383973584277","1.31796453150218","0.376679682914241","0.615427554009636","-0.102816711976776","0.284293213890724","0.308039504135026","1.86320410839164","0.918870543369457","0.460855156506189","0.586863303138083","0.310793316748421","0.969105953138404","0.818753051236088","1.27952047540186","0.63380057619654","1.04616187401019","0.80720369632758","0.532765951384985","1.18418803461029","-0.65630891368925","0.608431485629017","1.19405311391243","-0.472549053941513","0.583082757254339","-1.01323046638075","1.47237009732135","1.63136477010305","0.750250597823061","1.1557275147816","1.44304697437107","1.02131932830708","0.873429485246374","-0.283604363695539","-0.679024260079188","-1.21209804755944","-0.992505854163306","-1.11029911791868","-1.11649166069368","-1.38084024493735","-1.10708759674459","-1.27099032575661","-1.53853377935155","-0.893080462156874","-1.16215262359135","-1.23788890948094","-0.977236816076887","-1.21840247449093"
"PRKCI","0.831880253809438","0.932941786742174","0.151518461410024","0.629096009647276","0.446247281258098","0.603337004517471","0.496170294401984","0.673585775229987","-0.542347298487198","-0.032447506817308","1.10900724329418","0.776188183930361","1.29783808738968","1.17121149074837","0.901344314827316","1.16059304979671","0.68520039309454","0.504997446519692","0.048409927867777","0.879159253000328","1.08508300524641","1.09295086410472","1.03767078619517","0.89184695575362","-0.653701282741719","0.918594492215421","-1.03581687902083","0.185462970884596","1.20900366452478","0.942507005373813","0.622352927833144","0.451531025607469","-1.13120202388974","-1.06032756869975","-0.114973568305465","1.08436849254715","1.25574239282325","0.197614091429336","-0.620569690489505","1.00099569078146","0.366217240139206","-1.26268172166015","-1.02312644430026","0.418180998119479","-0.306656624405794","-1.39523777642176","-0.634664013108521","0.715734794492672","0.494134273920944","0.59244450900873","0.18814021601153","0.64492932013115","0.742607743827249","0.957528325700667","1.09388162225825","1.09061784259699","1.11620964413134","0.826189311458733","0.628039668128621","0.00143342643482525","0.58158319783596","0.0172553145382321","1.08054573682726","1.04854146480682","0.153955834872476","0.461016250551027","0.919531627510084","0.471515555727355","1.06259196305458","0.928543136830176","1.05597360669495","0.899777509279007","0.604424934476036","0.319773733174382","1.17976240333154","0.754786695024512","0.886846825635977","1.30618307161572","1.10202645048526","0.514014822313064","1.10578323684183","1.10041505604883","0.858014293408995","0.957678309878484","1.06391334011637","0.301666950353809","0.98348285326501","-0.866687864878249","1.17359736420443","0.552222994288573","-0.373061341541182","0.934410860853801","-0.0719050620345151","0.623002855981675","0.705001066821463","1.04957744891531","1.13115292630117","0.969131305854762","0.935136583451325","0.784372417543873","0.0342272830091695","-0.874643488839411","-1.10006481838055","-1.12981251161289","-1.40429967656591","-1.30624369245385","-1.25681261865721","-0.992179797638785","-1.32402262001136","-1.50216198139927","-1.11852138506834","-0.984974606953758","-1.0747888649983","-1.18703804749371","-1.02385064308619"
